marque,annee,etat,type_boite_vitesse,localite,region,prix,lien_image
Mazda,2016,Venant,Automatique,Mamelles,Dakar,9850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/006ce435e6e59a825e2bac9de383ebfa/-/horizon-files-prod/ed/picture/qkrgv70w/dad0e08b5512e5d942891fe3225dcd4ed6161ec8.jpg
Mazda,2017,Venant,Automatique,Almadies,Dakar,12800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8537a2fddb8d3450b225a35a8b1af431/-/horizon-files-prod/ed/picture/q8v5x5jp/b7e67f9c4934abff6e75f5ee3f61f680b42c8573.jpg
Toyota,2020,Venant,Automatique,Almadies,Dakar,32000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/76e6f859394c6a2832aae0e21f76d922/-/horizon-files-prod/ed/picture/qq4787mz/b230b27bbae1511eacad8d45aba1fcaa39374fbc.jpg
Toyota,2018,Venant,Automatique,Almadies,Dakar,32000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad5cf0334de29188b1efc40d8863d335/-/horizon-files-prod/ed/picture/qngxnx4x/a31fe9354f3e7d5f06d189d73eb938dd95316a4a.jpg
Kia,2019,D'occasion,Automatique,Ouest foire,Dakar,15800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8252a64bec8468a2392d70faa3eaedbc/-/horizon-files-prod/ed/picture/qwe252dp/6f7d976d5b50fb142e0393a0dc3dab95162a6b29.jpg
Peugeot,2015,D'occasion,Automatique,Liberte 6,Dakar,7600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d9f77f57f6222dcc5db0068b93b91cc/-/horizon-files-prod/ed/picture/qngxnxex/9609770a275c783737d235a343e9e1eb40c22b03.jpg
Mazda,2015,Venant,Automatique,Mermoz,Dakar,8900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21b34cace359591529ceb08145edd979/-/horizon-files-prod/ed/picture/q785r5en/5453f4c1448ef0d6dcaa343f59c2ae214e1930d9.jpg
Kia,2015,Venant,Automatique,Mermoz,Dakar,7700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/617c627b88f29e3c6f950c769abaaa3a/-/horizon-files-prod/ed/picture/qdekjkvg/250b4e03100ad869fcc6a559ebd22eaefa79661e.jpg
Toyota,2016,D'occasion,Automatique,Sacré-cœur,Dakar,15000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b999205caa26ece142058baf8b6a648/-/horizon-files-prod/ed/picture/qdeke2mj/275c9a01c2f552d12a92bf64bd5096fdac140caf.jpg
Ford,2017,Venant,Automatique,Sacré-cœur,Dakar,13000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb75266cdcfa7cfaf336653081eccc2d/-/horizon-files-prod/ed/picture/qv4e9njj/0cafa16faa952eb1dc3c9bb1a4d8d0382f80306b.jpg
Ford,2013,D'occasion,Automatique,Sicap foire,Dakar,4200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5fa9a0e0a17a53b2c72109f28d1a9f6e/-/horizon-files-prod/ed/picture/q448q8zr/6c95045f6da6233bf04e4caeed381ba49404f188.jpg
Toyota,2017,D'occasion,Manuelle,Sicap foire,Dakar,10500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4863cca602e6cc30668eac0b5c3faedb/-/horizon-files-prod/ed/picture/qv4e5e7m/34662a5baa80eb3ca8961ac25f440a770ea4dd75.jpg
Ford,2013,D'occasion,Automatique,Ouest foire,Dakar,6500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99d41ad6189f0723becf690389994441/-/horizon-files-prod/ed/picture/q9m9wpvx/0e951320661f1be17a6b732e4e9744cf9e496da7.jpg
